Game_Id,Title,Release,Series,Genre,Sub-genre,Developer,Publisher,Country,Platform,PEGI,Customizable_main,Protagonist,Protagonist_Non_Male,Relevant_males,Relevant_no_males,Percentage_non_male,Criteria,Director,Total_team,female_team,Team_percentage,Metacritic ,Destructoid,IGN,GameSpot,Avg_Reviews,
UC4,Uncharted 4: A Thief's End,May-16,Uncharted,Action-adventure,Action-adventure,Naughty Dog,Sony Computer Entertainment,USA,Multi,16,No,1,0,4,2,33%,TR,M,15,1,7%,9.3,9.5,9,10,9.5,
INS,Inside,Jun-16,,Action,Puzzle-Platform,Paydead,Playdead,DNK,Multi,18,No,1,0,2,0,0%,TR,M,2,0,0%,9.1,9.5,10,8,9.2,
UT,Undertale,Sep-15,,RPG,RPG,Toby Fox,Toby Fox,USA,Multi,12,Non-Binary,1,1,6,5,45%,TR,M,2,1,50%,9.2,10,10,9,9.6,
BB,Bloodborne,Mar-15,,RPG,Action RPG,FromSoftware,Sony Computer Entertainment,JPN,PS4,16,Yes,1,1,3,2,40%,TR,M,5,0,0%,9.2,9,9.1,9,9.1,
SK,Shovel Knight: Shovel of Hope,Jun-14,,Action,Platform,Yacht Club Games,Yacht Club Games,USA,Multi,7,No,1,0,10,2,17%,TR,M,9,1,11%,8.8,9,9,8,8.7,
PP,"Papers, Please",Aug-13,,Simulation,Puzzle Simulation,3909 LLC,3909 LLC,USA,Multi,16,No,1,0,4,2,33%,TR,M,1,0,0%,8.9,,8.7,8,8.5,
TLOU,The Last of Us,Jun-13,,Action-adventure,Action-adventure,Naughty Dog,Sony Computer Entertainment,USA,PS3,18,No,1,0,6,3,33%,TR,M,7,0,0%,9.5,10,10,8,9.4,
BSI,BioShock Infinite,Mar-13,BioShock,Action,FPS,Irrational Games,2K Games,USA,Multi,18,No,1,0,3,4,57%,TR,M,4,0,0%,9.4,10,9.5,9,9.5,
HLM,Hotline Miami,Oct-12,,Action,Top-down Shooter,Dennaton Games,Devolver Digital,SWE,Multi,18,No,2,0,8,2,20%,TR,M,2,0,0%,8.6,9,8.8,8.5,8.7,
JRN,Journey,Mar-12,,Adventure,Adventure,Thatgamecompany,Sony Computer Entertainment,USA,PS3,12,Non-Binary,1,1,0,4,100%,TR,M,7,1,14%,9.2,9,9,9.5,9.2,
FC3,Far Cry 3,Nov-19,Far Cry,Action,FPS,Ubisoft Montreal,Ubisoft,CAN,Multi,18,No,1,0,11,3,21%,TR,M,8,0,0%,9,8,9,9,8.8,
PSN5,Persona 5,Sep-16,Persona,RPG,Simulation RPG,P-Studio,Atlus,JPN,Multi,16,No,1,0,10,8,44%,TR,M,7,0,0%,9.5,9,9.8,9.5,9.5,
TN,Tunic,Sep-22,,Action-adventure,Action-adventure,Andrew Shouldice,Finji,CAN,Multi,7,Non-Binary,1,1,0,2,100%,TR,M,3,0,0%,8.5,9,9,9,8.9,
ER,Elden Ring,Feb-22,,RPG,Action RPG,FromSoftware,Bandai Namco Entertainment,JPN,Multi,16,Yes,1,1,10,9,47%,TR,M,6,0,0%,9.5,10,10,10,9.9,
TSPUD,The Stanley Parable (Ultra Deluxe),Apr-22,,Interactive Story,Interactive Story,Galactic Cafe,Galactic Cafe,GBR,Multi,7,No,1,0,2,0,0%,TR,M,4,1,25%,9,10,9,8,9,
NW,Neon White,Jun-22,,Action,FPS,Angel Matrix,Annapurna Interactive,USA,Multi,12,No,1,0,5,4,44%,TR,M,2,0,0%,8.9,8.5,8,9,8.6,
CH,Cuphead,Sep-17,,Action,Rund and gun,Studio MDHR,Studio MDHR,CAN,Multi,7,No,2,0,6,1,14%,TR,M,8,2,25%,8.7,9.5,8.8,8.5,8.9,
DL,Deathloop,Sep-21,,Action,FPS,Arkane Lyon,Bethesda Softworks,FRA,Multi,18,No,1,0,5,4,44%,TR,M,7,1,14%,8.8,9,10,10,9.5,
NRA,NieR: Automata,Feb-17,Drakengard,RPG,Action RPG,PlatinumGames,SquareEnix,JPN,Multi,18,No,1,1,5,8,62%,TR,M,12,1,8%,8.9,9,8.9,9,9,
IWATE,I Was a Teenage Exocolonist,Aug-22,,RPG,Strategy RPG,Northway Gates,Finji,CAN,Multi,12,Yes,1,1,13,14,52%,TR,F,6,4,67%,8.9,,,,8.9,
IMM,Immortality,Aug-22,,Interactive Story,Interactive Story,Sam Barlow,Half Mermaid Productions,GBR,Multi,16,No,2,2,3,4,57%,TR,M,13,4,31%,8.8,9,8,8,8.5,
DEL,Disco Elysium,Oct-19,,RPG,RPG,ZA/UM,ZA/UM,GBR,Multi,18,No,1,0,2,1,33%,TR,M,2,0,0%,9.1,8.5,9.6,10,9.3,
HA,Hades,Sep-21,,RPG,Action RPG,Supergiant Games,Supergiant Games,USA,Computer,12,No,1,0,9,7,44%,TR,M,10,2,20%,9.3,9,9,9,9.1,
CACW,Chicory: A Colorful World,Jun-21,,Adventure,Adventure,Finji,Finji,USA,Multi,7,Non-Binary,1,1,0,3,100%,TR,M,3,2,67%,8.9,9.5,9,9,9.1,
ITT,It Takes Two,Mar-21,,Action-adventure,Action-adventure,Hazelight Studios,EA,SWE,Multi,12,No,2,1,2,2,50%,TR,M,5,1,20%,8.9,,9,9,9,
TLOU2,The Last of Us Part II,Jun-20,,Action-adventure,Action-adventure,Naughty Dog,Sony Interactive Entertaiment,USA,PS4,18,No,2,2,6,5,45%,TR,M,11,2,18%,9.3,8.5,10,8,9,
HLA,Half-Life:Alyx,Mar-20,Half-Life,Action,FPS,Valve,Valve,USA,Computer,16,No,1,1,4,1,20%,TR,M,5,0,0%,9.3,9,10,9,9.3,
OAWW,Ori and the Will of the Wisps,Mar-20,,Action-adventure,Platform-adventure,Moon Studios,Xbox Game Studios,AUT,Multi,7,Non-Binary,1,1,3,5,63%,TR,M,10,1,10%,9.1,9.5,9,8.5,9,
DQXI,Dragon Quest XI,Jul-17,Dragon Quest,RPG,RPG,Square Enix,Square Enix,JPN,Multi,12,No,1,0,9,4,31%,TR,M,8,0,0%,8.8,8,8.8,9,8.7,
YK0,Yakuza 0,Mar-15,Yakuza,Action-adventure,Action-adventure,Ryu Ga Gotoku Studio,Sega,JPN,Multi,18,No,2,0,15,2,12%,TR,M,5,0,0%,8.7,9,8.5,8,8.6,
TINGWD,There is No Game: Wrong Dimension,Aug-20,,Interactive Story,Interactive Story,Draw Me A Pixel,Draw Me A Pixel,FRA,Computer,7,No,1,1,3,2,40%,TR,M,6,2,33%,8.8,,,9.6,9.2,
DOS2,Divinity:Original Sin II,Sep-17,Divinity,RPG,RPG,Larian Studios,Larian Studios,BEL,Multi,18,Yes,1,1,7,4,36%,TR,M,7,1,14%,9.4,9,9.6,10,9.5,
SSDT,Sekiro: Shadows Die Twice,Mar-19,,Action-adventure,Action-adventure,FromSoftware,Activision,JPN,Multi,18,No,1,0,7,1,13%,TR,M,7,0,0%,9,9,9.5,9,9.1,
OABF,Ori and the Blind Forest,Mar-15,,Action-adventure,Platform-adventure,Moon Studios,Microsoft Studios,AUT,Multi,7,Non-Binary,1,1,1,4,80%,TR,M,3,0,0%,8.8,9.5,8.5,9,9,
DMC5,Devil May Cry 5,Mar-19,Devil May Cry,Action-adventure,Action-adventure,Capcom,Capcom,JPN,Multi,18,No,2,0,5,3,38%,TR,M,7,0,0%,8.7,10,9.5,9,9.3,
FE3H,Fire Emblem: Three Houses,Jul-19,Fire Emblem,RPG,Tactical RPG,Intelligent Systems Koei Tecmo,Nintendo,JPN,Nintendo Switch,12,Yes,1,1,6,5,45%,TR,M,12,3,25%,8.9,9.5,9.5,9,9.2,
WROEF,What Remains of Edith Finch,Apr-17,,Adventure,Adventure,Giant Sparrow,Annapurna Interactive,USA,Multi,16,No,1,1,11,6,35%,TR,M,6,0,0%,8.9,9,8.8,9,8.9,
CLS,Celeste,Jan-18,,Action,Platform,Maddy Makes Games,Maddy Makes Games,CAN,Multi,7,No,1,1,2,4,67%,TR,F,5,3,60%,9.1,10,10,9,9.5,
DC,Dead Cells,Aug-18,,Action-adventure,Metroidvania,Motion Twin,Motion Twin,FRA,Multi,16,No,1,1,3,2,40%,TR,M,2,0,0%,8.8,,9.5,9,9.1,
HLKN,Hollow Knight,Feb-17,,Action-adventure,Metroidvania,Team Cherry,Team Cherry,AUS,Computer,7,Non-Binary,1,1,8,8,50%,TR,M,3,0,0%,8.8,10,9.4,9,9.3,
NITW,Night in the Woods,Feb-17,,Adventure,Adventure,Secret Lab,Finji,AUT,Multi,12,No,1,1,3,6,67%,TR,M,7,1,14%,8.4,9.5,8.7,9,8.9,
BY2,Bayonetta 2,Sep-14,Bayonetta,Action-adventure,Action-adventure,PlatinumGames,Nintendo,JPN,Wii U,16,No,1,1,8,3,27%,TR,M,12,2,17%,9.1,10,9.5,10,9.7,
BRA,Broken Age,Jan-14,,Adventure,Point-and-click adventure,Double Fine Productions,Double Fine Productions,USA,Computer,12,No,2,1,9,7,44%,TR,M,6,1,17%,7.9,9.5,9.5,7,8.5,
MGSV,Metal Gear Solid V: The Phantom Pain,Sep-15,Metal Gear,Action,Stealth,Kojima Productions,Konami,JPN,Multi,18,No,1,0,8,2,20%,TR,M,11,0,0%,9.3,9,10,10,9.6,
TSWP,The Swapper,May-13,,Action,Puzzle-Platform,Facepalm Games,Facepalm Games,FIN,Computer,7,No,1,1,2,4,67%,TR,M,1,0,0%,8.7,10,9.3,8,9,
OWB,Owlboy,Nov-16,,Action-adventure,Platform-adventure,D-Pad Studio,D-Pad Studio,NOR,Multi,7,No,1,0,8,0,0%,TR,M,3,0,0%,8.7,10,9.3,9,9.3,
DS2,Dark Souls 2,Mar-14,Dark Souls,RPG,Action RPG,FromSoftware,Bandai Namco Games,JPN,Multi,16,Yes,1,1,2,3,60%,TR,M,7,0,0%,9.1,,9,9,9,
TBOIR,The Binding of Isaac: Rebirth,Nov-14,,RPG,Roguelike,Nicalis,Nicalis,USA,Multi,16,No,1,0,7,4,36%,TR,M,3,0,0%,8.4,10,9,8,8.9,
COL,Child of Light,Apr-14,,Action,Platform RPG,Ubisoft Montreal,Ubisoft,CAN,Multi,7,No,1,1,6,7,54%,TR,M,7,3,43%,8.2,8.5,9.3,8,8.5,
FLR,Florence,Feb-18,,Interactive Story,Interactive Story,Mountains,Annapurna Interactive,USA,Mobile,3,No,1,1,1,1,50%,TR,M,2,0,0%,8.7,8,9.6,,8.8,
MSMMM,Marvel's Spider-Man: Miles Morales,Nov-20,Marvel's Spider-Man,Action-adventure,Action-adventure,Insomniac Games,Sony Interactive Entertaiment,USA,PS4,16,No,1,0,7,5,42%,TR,M,8,1,13%,8.5,9,9,7,8.4,
KBOS,Kena: Bridge of Spirits,Sep-21,,Action-adventure,Action-adventure,Ember Lab,Ember Lab,USA,Multi,12,No,1,1,5,5,50%,TR,M,3,1,33%,8.2,8,8,9,8.3,
